run_ID,max_flow,min_flow
ID1001,132.7525943287,48.8839082393
ID1002,140.7549487636,53.4497569161
ID1003,126.9128633557,50.9700281895
ID1004,126.5167003674,52.7031345935
ID1005,121.5273915293,56.6304576326
ID1006,134.0404228606,48.4190778576
ID1007,136.9152877359,50.6408797527
ID1008,116.7201004357,55.404236323
ID1009,145.8316661946,52.5096841678
ID1010,125.2106230263,53.8884214717
ID1011,132.7613808488,52.9094772916
ID1012,141.3100838185,53.8824557059
ID1013,129.3945687244,49.0384665413
ID1014,137.9128798473,50.744644839
ID1015,133.0521511521,48.6441422357
ID1016,117.9369890367,61.2913480414
ID1017,118.409523987,51.3348257118
ID1018,136.6965754317,54.2747429378
ID1019,137.3777693717,60.8253639918
ID1020,128.6269146564,53.6569702603
ID1021,126.2049404769,53.0419494563
ID1022,142.9595873368,55.1180721521
ID1023,124.1644415893,50.726659189
ID1024,126.6038222901,50.8575342499
ID1025,132.7595937792,59.3906102211
ID1026,117.682989642,51.2887368848
ID1027,133.9437607512,48.2796987139
ID1028,124.5414066311,56.9909635083
ID1029,143.3775401072,56.5874548703
ID1030,134.4808704661,59.0868716445
ID1031,121.7743415538,57.9126470628
ID1032,150.3400068477,51.5617402486
ID1033,141.8490008334,52.3971533006
ID1034,143.7752388543,56.1699431502
ID1035,120.5491751113,61.6354928136
ID1036,128.0340523584,49.3082557124
ID1037,128.1429262506,50.2938376289
ID1038,143.5988072901,51.6811331266
ID1039,142.6198322649,53.9240589706
ID1040,116.7039522922,54.3323718748
ID1041,131.1357459311,63.5968558926
ID1042,114.591467482,54.9992118437
ID1043,129.394495703,51.9863653027
ID1044,112.9881264846,56.7048257724
ID1045,132.261614146,55.2069588953
ID1046,126.3896350869,60.2845597221
ID1047,119.5518810119,52.267879401
ID1048,132.7740141253,62.9312054998
ID1049,140.8862340309,50.5283706247
ID1050,123.3626810268,54.8469015219
ID1051,134.8561568128,48.6167479659
ID1052,136.622782657,54.7938230688
ID1053,135.5426760393,60.2520964433
ID1054,132.3460081458,55.5055677688
ID1055,140.1017737592,49.8114167226
ID1056,118.2778155074,53.3339480517
ID1057,121.9711329595,64.3182209803
ID1058,127.583026325,50.1523834329
ID1059,130.6648731688,49.3906493889
ID1060,130.3575533481,51.7722359485
ID1061,118.4848867214,65.2286313906
ID1062,112.3252015052,60.287915006
ID1063,123.6729169123,63.9150047389
ID1064,138.8596093888,49.6172829387
ID1065,122.4462449852,51.049861279700004
ID1066,138.578368,57.4832573097
ID1067,122.5604938073,63.7422609431
ID1068,124.3666283642,52.3319702469
ID1069,144.6881332735,54.0501575379
ID1070,114.3453051518,60.3943684608
ID1071,121.7523306176,63.9492683645
ID1072,137.485430931,50.1041323564
ID1073,131.8402002886,49.4570451968
ID1074,117.8635213632,61.1682549351
ID1075,125.9488222082,50.5608454529
ID1076,137.4514257062,61.2967893273
ID1077,120.4624129483,50.8725311948
ID1078,141.7064000694,55.9857996399
ID1079,130.4344230101,54.1966879721
ID1080,144.7449855866,53.9434363093
ID1081,122.3877676974,50.5727187406
ID1082,141.1332257133,50.4366332746
ID1083,111.1047368666,60.8300879071
ID1084,119.9437806972,51.226077785
ID1085,132.2326366181,52.0392329085
ID1086,119.7260063997,51.7406987509
ID1087,142.4058890648,55.0692472182
ID1088,135.1983435755,53.2160774323
ID1089,115.2493014964,54.3402911053
ID1090,128.6739744308,52.0294897705
ID1091,124.1731838302,54.5965639003
ID1092,131.4598627556,56.612425725
ID1093,128.8748940807,51.3256462747
ID1094,118.8539790187,65.2267877505
ID1095,121.847163502,50.6998923885
ID1096,140.5059860161,50.9341953218
ID1097,143.4180099481,55.0648703458
ID1098,118.0815640266,65.8213086013
ID1099,119.146589055,51.5562866002
ID1100,144.9190784659,54.530469887
ID1101,136.6234936793,48.5930444608
ID1102,130.3566226695,50.1616839399
ID1103,132.1104807917,55.5578319484
ID1104,132.1220106395,62.8046937086
ID1105,113.7084821666,57.611417589
ID1106,142.5603887522,55.2391720935
ID1107,137.2755520794,54.5476680216
ID1108,126.0405682385,50.229676531
ID1109,137.429762468,61.3244217664
ID1110,128.0720217422,50.0661350186
ID1111,128.3614415068,52.3229188516
ID1112,134.5183389732,54.0682047703
ID1113,129.7968898742,51.8622556811
ID1114,131.2041535176,49.7694278913
ID1115,108.4999659307,60.4595018192
ID1116,131.4275958331,56.6561840987
ID1117,138.2108058615,52.2829837443
ID1118,122.267482821,62.4028101915
ID1119,148.6843982486,53.196342004
ID1120,124.5238843372,49.7861009594
ID1121,123.0214095527,52.4573472893
ID1122,140.0737007554,57.9159617882
ID1123,121.0624498824,52.6124033472
ID1124,125.7357812731,50.9991548192
ID1125,117.0137300225,64.603042941
ID1126,148.4106599076,52.1365739127
ID1127,136.7449057657,50.2037514838
ID1128,124.6095917821,64.1940603986
ID1129,115.933357507,68.0249246365
ID1130,117.070526108,62.0765607772
ID1131,119.5634624152,51.0595373886
ID1132,137.9690687388,53.5254674442
ID1133,120.835297796,51.454723783
ID1134,146.6204027581,53.1942186548
ID1135,133.144122772,53.7769569361
ID1136,138.9225993077,52.6628970811
ID1137,110.7407597135,58.7693137098
ID1138,122.583270707,64.4488700188
ID1139,119.6102332766,64.3112148105
ID1140,147.9179360464,53.0160524015
ID1141,131.9196751848,49.5476124001
ID1142,141.5477258389,49.4481771751
ID1143,115.2914515187,63.9400798593
ID1144,131.4209099621,60.0351473246
ID1145,120.0491376062,52.8295824348
ID1146,117.8919706369,62.9385551856
ID1147,110.2107102089,60.0702350526
ID1148,141.1942340797,50.8735088606
ID1149,134.4267183238,53.6353720995
ID1150,118.3404946448,52.2138952336
ID1151,138.1503572685,58.3230134481
ID1152,120.3115565074,52.0010296977
ID1153,123.9837229012,64.5230940555
ID1154,138.8354321478,48.9885996344
ID1155,132.0871674623,48.55044923
ID1156,130.7960550665,54.4385464914
ID1157,129.2736085267,63.0470626942
ID1158,134.2178131921,58.4050034503
ID1159,124.094569528,59.6218443729
ID1160,117.3665772468,52.4873905278
ID1161,122.3017570391,63.735097699
